sbi,a
0.617916667,1
0.638166667,1
0.650733333,1
0.719571429,1
0.708692308,1
0.61725,1
0.6162,1
0.6432,1
0.721769231,1
0.767538462,1
0.626,1
0.621727273,1
0.659666667,1
0.699933333,1
0.719,1
0.618583333,1
0.62,1
0.656230769,1
0.712076923,1
0.757571429,1
0.620230769,1
0.624666667,1
0.671666667,1
0.701666667,1
0.727769231,1
0.616636364,1
0.646083333,1
0.682384615,1
0.704833333,1
0.726153846,1
0.613909091,1
0.637583333,1
0.644,1
0.681,1
0.714,1
0.60675,1
0.62475,1
0.662857143,1
0.692272727,1
0.735230769,1
